Episode 315	Step 345927	Time 5793.22	Epsilon 0.01	Reward 1424.0
Episode 316	Step 346086	Time 5795.75	Epsilon 0.01	Reward 1083.0
Episode 317	Step 347284	Time 5816.99	Epsilon 0.01	Reward 1514.0
Episode 318	Step 347634	Time 5822.34	Epsilon 0.01	Reward 1838.0
Episode 319	Step 347812	Time 5825.05	Epsilon 0.01	Reward 1468.0
Episode 320	Step 349244	Time 5849.77	Epsilon 0.01	Reward 2023.0
Episode 321	Step 351424	Time 5885.73	Epsilon 0.01	Reward 1276.0
Episode 322	Step 353235	Time 5913.27	Epsilon 0.01	Reward 1956.0
Episode 323	Step 356971	Time 5975.72	Epsilon 0.01	Reward 873.0
Episode 324	Step 359335	Time 6013.97	Epsilon 0.01	Reward 1364.0
Episode 325	Step 361187	Time 6045.68	Epsilon 0.01	Reward 1608.0
Episode 326	Step 361366	Time 6048.44	Epsilon 0.01	Reward 1464.0
Episode 327	Step 362334	Time 6066.54	Epsilon 0.01	Reward 2308.0
Episode 328	Step 363409	Time 6082.84	Epsilon 0.01	Reward 1816.0
Episode 329	Step 364969	Time 6109.79	Epsilon 0.01	Reward 849.0
Episode 330	Step 365278	Time 6114.44	Epsilon 0.01	Reward 1420.0
Episode 331	Step 366210	Time 6131.88	Epsilon 0.01	Reward 2092.0
Episode 332	Step 367271	Time 6147.93	Epsilon 0.01	Reward 1890.0
Episode 333	Step 367444	Time 6150.59	Epsilon 0.01	Reward 1478.0
Episode 334	Step 369541	Time 6185.66	Epsilon 0.01	Reward 1259.0
Episode 335	Step 371670	Time 6220.93	Epsilon 0.01	Reward 1283.0
Episode 336	Step 373779	Time 6256.94	Epsilon 0.01	Reward 1328.0
Episode 337	Step 375338	Time 6284.42	Epsilon 0.01	Reward 2198.0
Episode 338	Step 375424	Time 6285.75	Epsilon 0.01	Reward 727.0
Episode 339	Step 375511	Time 6287.09	Epsilon 0.01	Reward 728.0
Episode 340	Step 376036	Time 6295.30	Epsilon 0.01	Reward 1411.0
Episode 341	Step 376923	Time 6312.11	Epsilon 0.01	Reward 1159.0
Episode 342	Step 377190	Time 6316.52	Epsilon 0.01	Reward 1654.0
Episode 343	Step 378589	Time 6338.05	Epsilon 0.01	Reward 1680.0
Episode 344	Step 380225	Time 6366.64	Epsilon 0.01	Reward 1528.0
Episode 345	Step 381158	Time 6384.98	Epsilon 0.01	Reward 2034.0
Episode 346	Step 381958	Time 6398.27	Epsilon 0.01	Reward 2076.0
Episode 347	Step 382974	Time 6416.58	Epsilon 0.01	Reward 1133.0
Episode 348	Step 385790	Time 6462.71	Epsilon 0.01	Reward 2021.0
Episode 349	Step 386359	Time 6471.91	Epsilon 0.01	Reward 1583.0
Episode 350	Step 388522	Time 6509.12	Epsilon 0.01	Reward 1091.0
Episode 351	Step 389545	Time 6528.54	Epsilon 0.01	Reward 1428.0
Episode 352	Step 390163	Time 6538.23	Epsilon 0.01	Reward 1804.0
Episode 353	Step 390249	Time 6539.66	Epsilon 0.01	Reward 732.0
Episode 354	Step 390519	Time 6543.96	Epsilon 0.01	Reward 1241.0
Episode 355	Step 390824	Time 6552.28	Epsilon 0.01	Reward 1492.0
Episode 356	Step 391044	Time 6555.89	Epsilon 0.01	Reward 1076.0
Episode 357	Step 393105	Time 6591.46	Epsilon 0.01	Reward 926.0
Episode 358	Step 393380	Time 6595.94	Epsilon 0.01	Reward 1649.0
Episode 359	Step 393928	Time 6604.76	Epsilon 0.01	Reward 1879.0
Episode 360	Step 394241	Time 6609.88	Epsilon 0.01	Reward 1476.0
